# bin,bin_content
-1.6000e+00,1.1717e-03
-1.4600e+00,8.3696e-04
-1.3200e+00,1.3391e-03
-1.1800e+00,3.3478e-03
-1.0400e+00,3.8500e-03
-9.0000e-01,7.1979e-03
-7.6000e-01,1.0713e-02
-6.2000e-01,2.2263e-02
-4.8000e-01,4.0007e-02
-3.4000e-01,6.6120e-02
-2.0000e-01,1.0880e-01
-6.0000e-02,9.5079e-02
8.0000e-02,6.0931e-02
2.2000e-01,2.9628e-02
3.6000e-01,1.6572e-02
5.0000e-01,1.6907e-02
6.4000e-01,2.6950e-02
7.8000e-01,3.8500e-02
9.2000e-01,5.7918e-02
1.0600e+00,7.5159e-02
1.2000e+00,9.6083e-02
1.3400e+00,8.8885e-02
1.4800e+00,7.3318e-02
1.6200e+00,3.8668e-02
1.7600e+00,1.1215e-02
1.9000e+00,5.1892e-03
2.0400e+00,6.6957e-04
2.1800e+00,8.3696e-04
2.3200e+00,1.6739e-04
2.4600e+00,0.0000e+00
